,Qoraalka,Qeybta
0,Mss world lagu qaldamay magaceeda kkkk,Negative-Xumaan
1,Asad hajio ayaa kaa hor gaadhaya ,Negative-Xumaan
2,Maxaa kaa galay adiga,Neutral-Dhexdhexaad
3,Darsile barank ayadi kama heyna,Negative-Xumaan
4,Tan aad daba socotid ee tiktokga ka niikisana qabso horta,Negative-Xumaan
5,Wad edab daranty wrya,Negative-Xumaan
6, Ninka soomaaliga ah ee ku fikiraya mss world guurso wakee?,Negative-Xumaan
7,Dirisle wh runta aya kugu jecel lahay Allah ha ku xaafido bro,Positive-Wanaag
8,Lkn dirisle maxay thy faraha madow kugumaba ogeen inaad is cadeyse waxaad aheyd ninka kaliya you tube ka aan kataageero oo aan isticmaalin daawada la isku cadeeyo,Negative-Xumaan
9,Waaawaray adaa been aduunka ku gubay waxa ku gubayaa waxay kugu sheegtay khaniisow,Negative-Xumaan
10,Af baaldi adigaba waka shaqaysaa,Negative-Xumaan
11,Adiga tuugnimda aadku jirto iyo tumadhada qarsoon waku faraxsanthy,Negative-Xumaan
12,Niin somali aha wax kafican majiro,Positive-Wanaag
13,Huuno huuno dhashay maxakaa galay adigaba qoonkii fircoon ayaakaso jedaa,Negative-Xumaan
14,MSS WORLD ,Neutral-Dhexdhexaad
15,Mss world maxa kenay mesha ,Negative-Xumaan
16,Maxaa kaaqaldan mssworld waa maxay qaawan baad lahadleesaa isqabo ?ƒñö,Negative-Xumaan
17,7:42 War maxa xafada ina adeeer waba life an tiktoka ku array ku lahayd dadka familka wa dadka cadowgagaga gabdhaha habaryarta dhashay iyo kuwo Abe iyo hoyo la dhashay maya subxanaallh naguhu markay dhiloban anu imanka wadankii ban joga marka naagi hadii ay dhilowdo silsilad ba losameya iyo bud abti adeer kuli qarabada maybe intas bay dhibsatay ayaduna tan ugu daran wa coumtiga logu quraya waliba naga ha quenyyy wa sax familku wa cadaw?ƒÿí?ƒÿí?ƒÿí?ƒÿí?ƒÿí?ƒÿínayaya doqma tihiiin dhilo qaawan ilahey cuqubo kugu rid bal nunayasha yaryarka ee hada so koraya ee gabdhaha hadey daawadaaan maxay sameyn Don,Negative-Xumaan
18,Mssworld aaaa,Negative-Xumaan
19,Saxiibow wixi calosha kujirey baa afka kasodafey teda kale marka dubdey videoka kadib dib madan okulawanin miya ina jarjardo mise vaarka wen kujiro maba arkin gawar mesha anaan jokin marka kusodaresid maba mise ulajedo baad kawada 1M kugaar hakuku sodhekdo,Negative-Xumaan
20,War mss world mxd kadontay,Negative-Xumaan
21,warya marka reaction bixinesid iska sax waxa ku hadlesid mssworld maxa la dhahaaa,Negative-Xumaan
22,Washamsi halagu qaado baba jey plz,Negative-Xumaan
23,Mssworld aya tidhi lkn wuxu u jeday mss qawan,Negative-Xumaan
24,Error miss world ?ƒîÄ,Negative-Xumaan
25,Mss world yaa maqlay,Neutral-Dhexdhexaad
26,Aduuunka ugu necbahay gabadha illahey ha so hadeeeye,Positive-Wanaag
27,Subxanallah allha soo hanuunsho intii lunsan,Positive-Wanaag
28,Dirisle hhhhhh mss world ba afku ka xaday haday albaab ka dhiganiye,Negative-Xumaan
29,Babaa jey washamsii halaguqadhoo,Negative-Xumaan
30,Fadlan Subsribe ii saara,Neutral-Dhexdhexaad
31,Miss world ,Negative-Xumaan
32,Miss world ,Negative-Xumaan
33,Yaab,Negative-Xumaan
34,Miss world maxa karabtaa,Neutral-Dhexdhexaad
35,Legend keep going ?ƒÆ¬,Positive-Wanaag
36,Miss World  miyaa maqlay mse waa dhagaheyga ?ƒÿü?ƒÿü,Negative-Xumaan
37,wryaah dirisle wa iz cadayzeeh mxah qaldan?ƒñÜ?ƒÿé?ƒæî,Negative-Xumaan
38,Heerkaas ayay somali mareysa wxyna kuduceysaneyna allow wdnka nohagaji side nabad kuhele axadki nbada haayay hadiba lagucaasinayo,Negative-Xumaan
39,Wlhi faraxyadena wax ka naxaris badan malahan ilahy hano dayee Farahyadena,Positive-Wanaag
40,Heedhe baaaba jeey cida uu ka eegtay waa asad hagio iyo yarkii la joogay markaa ee wax wayn ka dhigay thats way baaba jeey ugu dhiiraday inuu waraysto marka asaga mxaa looga soo hadli wayay,Negative-Xumaan
41,"Naagta kan wareeystay xitaa 
Wuu xun yahey  ciil iyo cuqdad buu qabaa",Negative-Xumaan
42,Curyaanku waa ciYaalo zuuQ?ƒñú,Negative-Xumaan
43,Hhhhhhh mzz word,Negative-Xumaan
44,Naagtaan aad beey udhaqan xun tahey,Neutral-Dhexdhexaad
45,SUBXAANALLAAH,Positive-Wanaag
46,Illahay hzoo hanuuniyo qawan koly qof wngzn u egthy,Positive-Wanaag
47,Babajey waa nin dhaqan xumo faafiyo oo diintena u gafayo iyo gab dheheena wanaagsan ?ƒÑ??ƒÿí Aan wax ka qabano hadii kale alle ayaa inoo caroonayo?ƒÑ??ƒÿ?,Negative-Xumaan
48,masha allha,Positive-Wanaag
49,hormar wacan,Positive-Wanaag
50,Kkkkk misswol magaceda ayu ku qaday queen qawan?ƒÿé,Negative-Xumaan
51,hadii uu qofka halmar isbadalo waa labalay halayabini illahay halooBARYO JIDKA TOOSAN IN UU MARIYO,Positive-Wanaag
