,id,created_time,message,comment_count,reactions.data,reactions.summary.total_count,comments.data,post_id,post_created_time,post_permalink_url,post_shares.count,post_message
0,726961929638894_324291780293386,2024-03-31 11:45:28+00:00,Edinka waxa aad soo dhegtan meel laka codsado mawalahan Ee maxay tahay,0,[],0,,1.9050161156995974e+29,2024-03-31 11:40:46+00:00,https://www.facebook.com/100069752805511/posts/pfbid029tNGn9xYEdpBps45PhzuPzSmecGLoRd9yAPejysbVoDmRR7F8f2Gfxf38VU8DnUrl,,"Fursado Shaqo:
TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia
https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/ 
 #qaranjobs #sos #FursadShaqo #somalijobs"
1,726961929638894_385598347646729,2024-03-31 11:56:24+00:00,Se wax yeshen hr,0,[],0,,1.9050161156995974e+29,2024-03-31 11:40:46+00:00,https://www.facebook.com/100069752805511/posts/pfbid029tNGn9xYEdpBps45PhzuPzSmecGLoRd9yAPejysbVoDmRR7F8f2Gfxf38VU8DnUrl,,"Fursado Shaqo:
TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia
https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/ 
 #qaranjobs #sos #FursadShaqo #somalijobs"
2,726961929638894_434427659047806,2024-03-31 11:56:27+00:00,Hee,0,[],0,,1.9050161156995974e+29,2024-03-31 11:40:46+00:00,https://www.facebook.com/100069752805511/posts/pfbid029tNGn9xYEdpBps45PhzuPzSmecGLoRd9yAPejysbVoDmRR7F8f2Gfxf38VU8DnUrl,,"Fursado Shaqo:
TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia
https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/ 
 #qaranjobs #sos #FursadShaqo #somalijobs"
3,726961929638894_1129552994749831,2024-03-31 12:03:27+00:00,Mel laga applied malahan mexethy,0,[],0,,1.9050161156995974e+29,2024-03-31 11:40:46+00:00,https://www.facebook.com/100069752805511/posts/pfbid029tNGn9xYEdpBps45PhzuPzSmecGLoRd9yAPejysbVoDmRR7F8f2Gfxf38VU8DnUrl,,"Fursado Shaqo:
TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia
https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/ 
 #qaranjobs #sos #FursadShaqo #somalijobs"
4,726961929638894_616721103985469,2024-03-31 12:26:15+00:00,Email ka mesha ku qoran ku gudbi codsigaaga hadii aa goobta laka shaqa galaayo u dhowtahay benalayaal waaye wax ay online ku qaadayana malahaa,0,[],0,,1.9050161156995974e+29,2024-03-31 11:40:46+00:00,https://www.facebook.com/100069752805511/posts/pfbid029tNGn9xYEdpBps45PhzuPzSmecGLoRd9yAPejysbVoDmRR7F8f2Gfxf38VU8DnUrl,,"Fursado Shaqo:
TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia
https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/ 
 #qaranjobs #sos #FursadShaqo #somalijobs"
5,726894056312348_478021441447570,2024-03-31 09:34:15+00:00,waad soo dahiseyn  sxbyaal,0,[],0,,1.9050161156995974e+29,2024-03-31 09:02:41+00:00,https://www.facebook.com/100069752805511/posts/pfbid0RmfXb5oTPfA8LatCYi3PPKHvEHZzxKpoE86VpaHpdQsLRkjgfnQzzSdGjGmhaaMUl,,"𝟓 𝐅𝐮𝐫𝐬𝐚𝐝𝐨 𝐒𝐡𝐚𝐪𝐨 𝐀𝐡:
Jamhuuriyadda Federaalka Soomaaliya Waxaa Ka Banaan 5 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
🔗𝑳𝒊𝒏𝒌: https://qaranjobs.com/job/somali-jobs-the-federal-republic-of-somalia-5-positions-are-closing-today-march-31st-2024/
F.G: Fursadahan Shaqo Maanta Ayaa U Danbeysa Oo Ay Xirmayaan (31 Mar 2024). 
 #qaranjobs #Somalia"
6,726875066314247_433778902458181,2024-03-31 08:30:50+00:00,Ali Hassan Salat,1,[],0,"[{'created_time': '2024-04-02T04:49:01+0000', 'from': {'name': 'Ali Hassan Salat', 'id': '100039194043550'}, 'message': 'Mohamed Ahmed Hassan thanks wllka', 'id': '726875066314247_714105697589582'}]",1.9050161156995974e+29,2024-03-31 08:15:21+00:00,https://www.facebook.com/100069752805511/posts/pfbid02VFNiABu2fAYjDFsyQk9pg627tyx6iC3Sns1A9gBSM5mzkueUB8iakZVahBURCqUNl,,"Fursad Shaqo:
Dhamaan Dadwaynaha Ku Nool Deegaanada Koonfur Galbeed Soomaaliya Gaar Ahaan Magaalada Baydhabo Waxaa La' Ogeysiineynaa in ay Fursad Shaqo Ka Banantahay Mashruuca Somalia Urban Resilience Project (SURP II), oo ay fulinayso Dowlaha Hoose ee Baydhabo. Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/financial-management-specialist-baidoa-somalia/ 
 #qaranjobs #Somalijobs #somalijobs"
7,726875066314247_1877682789335640,2024-03-31 10:34:23+00:00,Abdirahman Sheikh Abdisalan,0,"[{'id': '100017032722294', 'name': 'Abdirahman Sheikh Abdisalan', 'type': 'LIKE'}]",1,,1.9050161156995974e+29,2024-03-31 08:15:21+00:00,https://www.facebook.com/100069752805511/posts/pfbid02VFNiABu2fAYjDFsyQk9pg627tyx6iC3Sns1A9gBSM5mzkueUB8iakZVahBURCqUNl,,"Fursad Shaqo:
Dhamaan Dadwaynaha Ku Nool Deegaanada Koonfur Galbeed Soomaaliya Gaar Ahaan Magaalada Baydhabo Waxaa La' Ogeysiineynaa in ay Fursad Shaqo Ka Banantahay Mashruuca Somalia Urban Resilience Project (SURP II), oo ay fulinayso Dowlaha Hoose ee Baydhabo. Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/financial-management-specialist-baidoa-somalia/ 
 #qaranjobs #Somalijobs #somalijobs"
8,726875066314247_953345846519658,2024-04-01 15:07:18+00:00,Abdi Mohamed Abdalle adigy kuu baahnyihiin dadkaan,0,[],0,,1.9050161156995974e+29,2024-03-31 08:15:21+00:00,https://www.facebook.com/100069752805511/posts/pfbid02VFNiABu2fAYjDFsyQk9pg627tyx6iC3Sns1A9gBSM5mzkueUB8iakZVahBURCqUNl,,"Fursad Shaqo:
Dhamaan Dadwaynaha Ku Nool Deegaanada Koonfur Galbeed Soomaaliya Gaar Ahaan Magaalada Baydhabo Waxaa La' Ogeysiineynaa in ay Fursad Shaqo Ka Banantahay Mashruuca Somalia Urban Resilience Project (SURP II), oo ay fulinayso Dowlaha Hoose ee Baydhabo. Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/financial-management-specialist-baidoa-somalia/ 
 #qaranjobs #Somalijobs #somalijobs"
9,726381423030278_1141881690573753,2024-03-30 15:12:19+00:00,Siciid Ck Allaale,0,[],0,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
10,726381423030278_381699048107054,2024-03-30 15:30:23+00:00,Mu'ad Xaange,0,"[{'id': '100013337285994', 'name': ""Mu'ad Xaange"", 'type': 'LOVE'}]",1,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
11,726381423030278_302977372812875,2024-03-30 15:46:14+00:00,Issack Ali hassan,0,[],0,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
12,726381423030278_2761204940694365,2024-03-30 15:50:15+00:00,bahja apd naasir muuse,0,[],0,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
13,726381423030278_1194552491991562,2024-03-30 19:21:24+00:00,Ibarahim Aljacfari,0,[],0,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
14,726381423030278_726186839691412,2024-03-30 20:39:22+00:00,Saluugla Hassan Biixi  apply dhhe,0,[],0,,1.9050161156995974e+29,2024-03-30 13:08:50+00:00,https://www.facebook.com/100069752805511/posts/pfbid0d6fzYLHcTyBAZKrJLT5skjWv7yPeGi2XYNeDqQogesHDWqeih91MVE6HUaQyXEiel,,"6 Fursado Shaqo Ah:
Hay'adda Save the Children Waxaa Ka Banaan 6 Shaqo, Fadlan Link-ga hoose ka codso: 👇👇
https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/ 
 #qaranjobs"
