title,company,location,posted,url
"Somali jobs: The Federal Republic of Somalia (5 positions) are closing today, March 31st, 2024.",Federal Republic of Somalia ,Somalia," March 31, 2024",https://qaranjobs.com/job/somali-jobs-the-federal-republic-of-somalia-5-positions-are-closing-today-march-31st-2024/
Somali jobs at Save the Children (6 positions),Save the Children ,Somalia," March 30, 2024",https://qaranjobs.com/job/somali-jobs-at-save-the-children-6-positions/
Somali jobs at UNICEF (3 Positions),United Nations Children’s Fund (UNICEF) ,Somalia," March 24, 2024",https://qaranjobs.com/?post_type=job_listing&p=30592
Jobs at Somali Red Crescent Society (SRCS) (4 Positions),Ururka Bisha Cas (SRCS) ,Somalia," March 23, 2024",https://qaranjobs.com/?post_type=job_listing&p=30583
Finance Assistance ,Amtel ,Somalia," March 20, 2024",https://qaranjobs.com/job/finance-assistance-amtel-at-somalia/
"Financial Management Specialist, Baidoa, Somalia","Southwest State of Somalia, Municipality of Baidoa ","Baidoa, Somalia"," March 31, 2024",https://qaranjobs.com/job/financial-management-specialist-baidoa-somalia/
"CHIEF SECURITY OFFICER, Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/chief-security-officer-mogadishu-somalia/
"Budget & Programming Officer, Mogadishu, Somalia",World Food Programme (WFP) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/budget-programming-officer-mogadishu-somalia/
"Programme Officer (PRO)-Education GPE (1 Position), Dhusamareb, Somalia",Save the Children ,Somalia," March 30, 2024",https://qaranjobs.com/job/programme-officer-pro-education-gpe-1-position-dhusamareb-somalia/
"Pharmaceutical Supply Chain Officer (1 Position), Beledweyne, Somalia",Save the Children ,"Beledweyne, Somalia"," March 30, 2024",https://qaranjobs.com/job/pharmaceutical-supply-chain-officer-1-position-beledweyne-somalia/
"Capacity Development Specialist, Mogadishu, Somalia",Food and Agriculture Organization of the United Nations (FAO) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/capacity-development-specialist-mogadishu-somalia-2/
Project Manager and Disability Inclusion Specialist ,United Nations Development Programme (UNDP) ,"Hargeisa, Somalia"," March 30, 2024",https://qaranjobs.com/job/project-manager-and-disability-inclusion-specialist-hargeisa-somalia/
"Head of Operations, Kismayo, Somalia",Norwegian Refugee Council (NRC) ,"Kismayo, Somalia"," March 30, 2024",https://qaranjobs.com/job/head-of-operations-kismayo-somalia/
"Data Visualization Analyst, Mogadishu, Somalia",Food and Agriculture Organization of the United Nations (FAO) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/data-visualization-analyst-mogadishu-somalia/
"PROPERTY MANAGEMENT OFFICER, Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/property-management-officer-mogadishu-somalia-2/
"Community Health Officer, Gedo, Somalia",Trócaire ,"Gedo, Somalia"," March 30, 2024",https://qaranjobs.com/job/community-health-officer-gedo-somalia-3/
"Project Officers, Kismayo, Somalia",CARE International ,"Kismayo, Somalia"," March 30, 2024",https://qaranjobs.com/job/project-officers-kismayo-somalia/
"Project Officer, Dollow, Somalia",CARE International ,"Dollow, Somalia"," March 30, 2024",https://qaranjobs.com/job/project-officer-dollow-somalia-2/
"People & Culture Coordinator, Hargeisa",CARE International ,"Hargeisa, Somalia"," March 30, 2024",https://qaranjobs.com/job/people-culture-coordinator-hargeisa/
"Hub Coordinators (3 Positions), Hargeisa, Mogadishu and Garowe",CARE International ,"Hargeisa, Mogadishu & Garowe, Somalia"," March 30, 2024",https://qaranjobs.com/job/hub-coordinators-3-positions-hargeisa-mogadishu-and-garowe/
"Finance Coordinator, Hargeisa, Somalia",Danish Refugee Council (DRC) ,"Hargeisa, Somalia"," March 30, 2024",https://qaranjobs.com/job/finance-coordinator-hargeisa-somalia-2/
"TSFP/MCHN/BSFP Registration Clerk (26), Baidoa, Burhakaba, Berdale & Qansax Dheere",SOS Children’s Villages Somalia ,"Baidoa, Burhakaba, Berdale & Qansax Dheere, Somalia"," March 30, 2024",https://qaranjobs.com/job/tsfp-mchn-bsfp-registration-clerk-26-baidoa-burhakaba-berdale-qansax-dheere/
"FCRM Operator, Baidoa, Somalia",SOS Children’s Village Somalia ,"Baidoa, Somalia"," March 30, 2024",https://qaranjobs.com/job/fcrm-operator-baidoa-somalia/
"ADMINISTRATIVE ASSISTANT, Mogadishu, Somalia",International Committee of the Red Cross (ICRC) ,"Mogadishu, Somalia"," March 30, 2024",https://qaranjobs.com/job/administrative-assistant-mogadishu-somalia-18/
"National Professional Officer (EPI Information Manager), Mogadishu, Somalia",World Health Organization (WHO) ,"Mogadishu, Somalia"," March 26, 2024",https://qaranjobs.com/job/national-professional-officer-epi-information-manager-mogadishu-somalia/
"CONDUCT AND DISCIPLINE OFFICER, Mogadishu, Somalia",United Nations Support Office in Somalia (UNSOS) ,"Mogadishu, Somalia"," March 26, 2024",https://qaranjobs.com/job/conduct-and-discipline-officer-mogadishu-somalia/
"Program Clerk (Environmental Peacebuilding), Mogadishu, Somalia",CTG ,"Mogadishu, Somalia"," March 26, 2024",https://qaranjobs.com/job/program-clerk-environmental-peacebuilding-mogadishu-somalia/
"Data Officer for Somalia, based in Mogadishu, Somalia",IMPACT Initiatives ,"Mogadishu, Somalia"," March 26, 2024",https://qaranjobs.com/job/data-officer-for-somalia-based-in-mogadishu-somalia/
"Senior Project Manager, Hargeisa, Somaliland",BBC Media Action ,"Hargeisa, Somalia"," March 26, 2024",https://qaranjobs.com/job/senior-project-manager-hargeisa-somaliland/
"Orphan & Child Welfare Monitor, Burtinle, Puntland, Somalia",Islamic Relief ,"Burtinle, Puntland, Somalia"," March 26, 2024",https://qaranjobs.com/job/orphan-child-welfare-monitor-burtinle-puntland-somalia/
"Orphan & Child Welfare Monitor, Garowe, Puntland",Islamic Relief ,"Garowe, Puntland"," March 26, 2024",https://qaranjobs.com/job/orphan-child-welfare-monitor-garowe-puntland/
"Physiotherapy Helper, Mogadishu, Somalia",Somali Red Crescent Society (SRCS) ,"Mogadishu, Somalia"," March 26, 2024",https://qaranjobs.com/job/physiotherapy-helper-mogadishu-somalia-2/
Fursado Shaqo Oo Ka Banaan Salaam Somali Bank,Salaam Somali Bank ,Somalia," March 25, 2024",https://qaranjobs.com/job/fursado-shaqo-oo-ka-banaan-salaam-somali-bank/
Bid for the Procurement of Customized office Furniture and Air conditioners,IDLO ,Somalia," March 25, 2024",https://qaranjobs.com/job/bid-for-the-procurement-of-customized-office-furniture-and-air-conditioners/
Tender: Bid Framework Agreement(s) for Road Transport Passenger Services in Somaliland,IDLO ,Somalia," March 25, 2024",https://qaranjobs.com/job/tender-bid-framework-agreements-for-road-transport-passenger-services-in-somaliland/
Horyaal Hospital ,Horyaal Hospital ,Somalia," March 25, 2024",https://qaranjobs.com/job/horyaal-hospital-pharmacist-3-positions/
