Qoraalka,Label,Qeybta
naxariis,1,Positive-Wanaag
jaceyl,1,Positive-Wanaag
amaan,1,Positive-Wanaag
soo jiidasho leh ,1,Positive-Wanaag
raali galin,1,Positive-Wanaag
hambalyo,1,Positive-Wanaag
faraxad,1,Positive-Wanaag
qurux,1,Positive-Wanaag
quruxsan,1,Positive-Wanaag
la jecel yahay,1,Positive-Wanaag
amaanan ,1,Positive-Wanaag
udugoon,1,Positive-Wanaag
udug,1,Positive-Wanaag
caraf,1,Positive-Wanaag
Ilahoow sheikh mustafe janada ku gee,1,Positive-Wanaag
Sheikh mustafa illhow cimrigaga dhere jazakallhu khe,1,Positive-Wanaag
Hadal Afkaaga Kaso baxa Waxa ugu wngsn saliga Rasuulkena ,1,Positive-Wanaag
Rabow wadada xaqa na tus anaga iyo inti islama oo dintena nagu adke,1,Positive-Wanaag
Ilaahey waxan ka baryayaa isago kale inu dhexdeena ku badiyo. Ilahayow wilasheyda sidiisa ufahansi xaqa iyo wanaaga,1,Positive-Wanaag
Ilahay inama hoojiyo aakhiro iyo aduunba,1,Positive-Wanaag
jidka siraad ilaahow taako nooga yeel Aamin,1,Positive-Wanaag
ilahayow qatumo wanagsan nagu dil,1,Positive-Wanaag
Allow naga badbaadi cadaabta,1,Positive-Wanaag
Allow noo naxariiso dhamaanteyna,1,Positive-Wanaag
ìlaahow xaraanta naga ilaali,1,Positive-Wanaag
Allow noo danbi dhaaf dhama,1,Positive-Wanaag
ala hakaa ajar siiyo khayrkaa aad nasoo gaadh siisay,1,Positive-Wanaag
balse inantu waxay noqotay mid dumarka kuwoda ugu quruxda badan uguna akhlaqda wangsan,1,Positive-Wanaag
carabkaa caano macaan lagu qabay,1,Positive-Wanaag
"wlhi been mahn diin,naxariis,wanaag,qurux",1,Positive-Wanaag
afkaga caana lagu qaby,1,Positive-Wanaag
mashallah alaha ku xafido,1,Positive-Wanaag
walalkay mcn ilahay Haa ku xifdiyo,1,Positive-Wanaag
ayyyy mahadsanid boqorka,1,Positive-Wanaag
Nasaboow Jiroo waayo sii joog,1,Positive-Wanaag
mahadsanid,1,Positive-Wanaag
waa dad aad ujecelahay ,1,Positive-Wanaag
Horumar,1,Positive-Wanaag
Farxad,1,Positive-Wanaag
Guul,1,Positive-Wanaag
Rajada,1,Positive-Wanaag
Nabad,1,Positive-Wanaag
Caafimaad,1,Positive-Wanaag
Barwaaqo,1,Positive-Wanaag
Iskaashi,1,Positive-Wanaag
Dhiirrigelin,1,Positive-Wanaag
Aqoon,1,Positive-Wanaag
Xasilooni,1,Positive-Wanaag
Caddaalad,1,Positive-Wanaag
Samafal,1,Positive-Wanaag
Dareen wanaagsan,1,Positive-Wanaag
Ixtiraam,1,Positive-Wanaag
Xikmad,1,Positive-Wanaag
Fikir wanaagsan,1,Positive-Wanaag
Hal-abuur,1,Positive-Wanaag
Isbeddel togan,1,Positive-Wanaag
Saaxiibtinimo,1,Positive-Wanaag
Jacayl,1,Positive-Wanaag
Qanacsanaan,1,Positive-Wanaag
Hammi sare,1,Positive-Wanaag
Waxqabad,1,Positive-Wanaag
Karti,1,Positive-Wanaag
Maalin kasta waa fursad cusub.,1,Positive-Wanaag
Guusha dhabta ah waa inaan la joojin isku dayga.,1,Positive-Wanaag
Farxaddu waa go'aan maalinle ah.,1,Positive-Wanaag
Noloshu waxay qiimo leedahay marka la wadaago.,1,Positive-Wanaag
Caqabaduhu waa tallaabooyin ku sii dhaw guusha.,1,Positive-Wanaag
Xikmadu waa hantida ugu qaalisan.,1,Positive-Wanaag
Isbeddelku waa marxalad nolosha ka mid ah.,1,Positive-Wanaag
Rajadu waxay iftiimisaa mugdiga.,1,Positive-Wanaag
Samirku waa furaha guusha.,1,Positive-Wanaag
Jacaylku waa luuqadda guud ee bani'aadamka.,1,Positive-Wanaag
"""Guushu waxay imaanaysaa marka aad rumaysato riyadaada.""",1,Positive-Wanaag
"""Qalbigaaga ku hay farxad iyo rajo walba.""",1,Positive-Wanaag
"""Ku dadaal inaad noqoto iftiinka dunidaada.""",1,Positive-Wanaag
"""Jacaylku ha noqdo hagahaaga maalin walba.""",1,Positive-Wanaag
"""Noloshu way dhalaalaysaa marka aad ku noolaato rajo.""",1,Positive-Wanaag
"""Ku faan guulahaaga, yaryar iyo kuwa weynba.""",1,Positive-Wanaag
"""Dhoolacadeyntaadu ha noqoto sababta farxadda dadka kale.""",1,Positive-Wanaag
"""Kasta oo caqabad ah, waxaa jira fursad qarsoon.""",1,Positive-Wanaag
"""Riyadaada ku raac talaabo kasta oo jacayl ah.""",1,Positive-Wanaag
"""Farxadu waa doorasho maalinle ah.""",1,Positive-Wanaag
"""Awooddaada ku aamin inaad samayn karto isbeddel.""",1,Positive-Wanaag
"""Hamigaagu ha ahaado sida xiddigaha; sare u kac.""",1,Positive-Wanaag
"""Ku noolow nolol leh ujeeddo iyo macno.""",1,Positive-Wanaag
"""Aamin in berri ay ka fiicnaan doonto maanta.""",1,Positive-Wanaag
"""Qoyska iyo saaxiibada ha noqdaan tiirarkaaga xooggan.""",1,Positive-Wanaag
"""Nolosha ku qabo qosol, jacayl, iyo rajo.""",1,Positive-Wanaag
"""Samir iyo adkaysi waa furaha guusha.""",1,Positive-Wanaag
"""Caafimaadku waa hantida ugu qiimaha badan; ilaali.""",1,Positive-Wanaag
